seed,class_weight,threshold,precision,recall,f1,meets_primary,meets_secondary
27,None,0.2,0.5,1.0,0.6667,no,yes
27,None,0.3,0.5,1.0,0.6667,no,yes
27,None,0.4,0.5,1.0,0.6667,no,yes
27,None,0.5,0.7031,0.6475,0.6742,yes,yes
27,None,0.6,0.0,0.0,0.0,no,no
27,None,0.7,0.0,0.0,0.0,no,no
27,None,0.8,0.0,0.0,0.0,no,no
27,balanced,0.2,0.5,1.0,0.6667,no,yes
27,balanced,0.3,0.5,1.0,0.6667,no,yes
27,balanced,0.4,0.5,1.0,0.6667,no,yes
27,balanced,0.5,0.7031,0.6475,0.6742,yes,yes
27,balanced,0.6,0.0,0.0,0.0,no,no
27,balanced,0.7,0.0,0.0,0.0,no,no
27,balanced,0.8,0.0,0.0,0.0,no,no
28,None,0.2,0.5,1.0,0.6667,no,yes
28,None,0.3,0.5,1.0,0.6667,no,yes
28,None,0.4,0.5,1.0,0.6667,no,yes
28,None,0.5,0.7627,0.6475,0.7004,yes,yes
28,None,0.6,0.0,0.0,0.0,no,no
28,None,0.7,0.0,0.0,0.0,no,no
28,None,0.8,0.0,0.0,0.0,no,no
28,balanced,0.2,0.5,1.0,0.6667,no,yes
28,balanced,0.3,0.5,1.0,0.6667,no,yes
28,balanced,0.4,0.5,1.0,0.6667,no,yes
28,balanced,0.5,0.75,0.6475,0.695,yes,yes
28,balanced,0.6,0.0,0.0,0.0,no,no
28,balanced,0.7,0.0,0.0,0.0,no,no
28,balanced,0.8,0.0,0.0,0.0,no,no
29,None,0.2,0.5,1.0,0.6667,no,yes
29,None,0.3,0.5,1.0,0.6667,no,yes
29,None,0.4,0.5,1.0,0.6667,no,yes
29,None,0.5,0.7563,0.6475,0.6977,yes,yes
29,None,0.6,0.0,0.0,0.0,no,no
29,None,0.7,0.0,0.0,0.0,no,no
29,None,0.8,0.0,0.0,0.0,no,no
29,balanced,0.2,0.5,1.0,0.6667,no,yes
29,balanced,0.3,0.5,1.0,0.6667,no,yes
29,balanced,0.4,0.5,1.0,0.6667,no,yes
29,balanced,0.5,0.75,0.6475,0.695,yes,yes
29,balanced,0.6,0.0,0.0,0.0,no,no
29,balanced,0.7,0.0,0.0,0.0,no,no
29,balanced,0.8,0.0,0.0,0.0,no,no
