tweet_id,fortune_rank,company_name,source_x_handle,humor_presence,humor_presence_score,humor_type,humor_type_score,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,classification_source,model_name,classification_confidence,classification_version
2046326930136269031,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
2046327632782913952,1,Amazon,@amazon,,0.716501,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.716501,existing_data_derived_humor_full_chain
2048775540241481931,1,Amazon,@amazon,,0.546846,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.546846,existing_data_derived_humor_full_chain
2048853693357810099,1,Amazon,@amazon,,0.653124,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.653124,existing_data_derived_humor_full_chain
2048854641870254283,1,Amazon,@amazon,1,0.754307,affiliative,0.620000,0,1,0,0,0,ml,existing_repository_full_chain_classifier,0.754307,existing_data_derived_humor_full_chain
2048856688862859450,1,Amazon,@amazon,,0.573866,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.573866,existing_data_derived_humor_full_chain
2048859055389921742,1,Amazon,@amazon,,0.612789,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.612789,existing_data_derived_humor_full_chain
2048861596273852890,1,Amazon,@amazon,,0.769833,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.769833,existing_data_derived_humor_full_chain
2048906733754687613,1,Amazon,@amazon,1,0.681832,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.681832,existing_data_derived_humor_full_chain
1916912132647751690,1,Amazon,@amazon,0,0.638092,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.638092,existing_data_derived_humor_full_chain
1916912134275141817,1,Amazon,@amazon,0,0.486826,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.513174,existing_data_derived_humor_full_chain
