company_name,ticker,cik,cik_padded,target_report_year,filing_date,event_trading_date,naics_code,naics_sector_code,naics_sector_name,CAR_m1_p1,CAR_m3_p3,CAR_m5_p5,CAR_m1_p1_available,CAR_m3_p3_available,CAR_m5_p5_available,car_source,car_calculation_status,missing_car_reason,future_date_flag,date_alignment_warning,CAR_m3_p3_window_n,CAR_m3_p3_nonmissing_ar_n,CAR_m3_p3_complete_window,CAR_m5_p5_window_n,CAR_m5_p5_nonmissing_ar_n,CAR_m5_p5_complete_window,CAR_m1_p1_recomputed,ar_computation_status,crosscheck_pass
Meta Platforms,META,1326801,1326801,2025,2026-01-29,2026-01-29,,51,Information,0.073961,0.05522848,0.116673,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.07396085,computed,True
Elevance Health,ELV,1156039,1156039,2023,2024-02-21,2024-02-21,,52,Finance and Insurance,-0.008567,-0.00402543,-0.00540558,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.0085666,computed,True
Elevance Health,ELV,1156039,1156039,2024,2025-02-20,2025-02-20,,52,Finance and Insurance,0.01996,0.04880705,0.03700738,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01995985,computed,True
Elevance Health,ELV,1156039,1156039,2025,2026-02-06,2026-02-06,,52,Finance and Insurance,-0.039717,-0.02920847,0.00996497,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.03971679,computed,True
Centene,CNC,1071739,1071739,2023,2024-02-20,2024-02-20,,52,Finance and Insurance,0.015797,0.03244695,0.03488515,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01579659,computed,True
Centene,CNC,1071739,1071739,2024,2025-02-18,2025-02-18,,52,Finance and Insurance,0.017522,0.01759358,0.05866488,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01752207,computed,True
Centene,CNC,1071739,1071739,2025,2026-02-17,2026-02-17,,52,Finance and Insurance,0.097953,0.09878395,0.11406748,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.09795322,computed,True
Bank of America,BAC,70858,70858,2023,2024-02-20,2024-02-20,,52,Finance and Insurance,0.003853,0.00586619,0.03161226,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00385341,computed,True
Bank of America,BAC,70858,70858,2024,2025-02-25,2025-02-25,,52,Finance and Insurance,-0.014235,0.02215581,-0.05787854,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01423492,computed,True
Bank of America,BAC,70858,70858,2025,2026-02-25,2026-02-25,,52,Finance and Insurance,0.011689,-0.063394,-0.05555306,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01168923,computed,True
Chevron,CVX,93410,93410,2023,2024-02-26,2024-02-26,,31-33,Manufacturing,-0.017723,-0.02073596,-0.03881613,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.0177235,computed,True
Chevron,CVX,93410,93410,2024,2025-02-21,2025-02-21,,31-33,Manufacturing,0.015112,0.01082264,0.04439304,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.01511153,computed,True
Chevron,CVX,93410,93410,2025,2026-02-24,2026-02-24,,31-33,Manufacturing,-0.001533,0.01734242,0.04112453,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.00153287,computed,True
Ford Motor,F,37996,37996,2023,2024-02-07,2024-02-07,,31-33,Manufacturing,0.089177,0.04450787,0.05197182,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.08917653,computed,True
Ford Motor,F,37996,37996,2024,2025-02-06,2025-02-06,,31-33,Manufacturing,-0.08812,-0.08484277,-0.08536817,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.08812002,computed,True
Ford Motor,F,37996,37996,2025,2026-02-11,2026-02-11,,31-33,Manufacturing,0.042199,0.02417871,0.00545381,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.04219905,computed,True
General Motors,GM,1467858,1467858,2023,2024-01-30,2024-01-30,,31-33,Manufacturing,0.114117,0.0954428,0.05478181,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.11411706,computed,True
General Motors,GM,1467858,1467858,2024,2025-01-28,2025-01-28,,31-33,Manufacturing,-0.07389,-0.06492998,-0.06479738,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.07389037,computed,True
General Motors,GM,1467858,1467858,2025,2026-01-27,2026-01-27,,31-33,Manufacturing,0.051864,0.02046018,0.04775979,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.05186375,computed,True
Citigroup,C,831001,831001,2023,2024-02-23,2024-02-23,,52,Finance and Insurance,-0.017472,-0.00711434,0.00496016,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01747213,computed,True
