variant,class_label,token,feature,weight,rank_abs_weight,leakage_flag
mask_wendys_brand,aggressive,free,word__free dave,0.05004,2,FAIL
mask_wendys_brand,aggressive,free,word__free,-0.04424,3,FAIL
mask_wendys_brand,aggressive,app,word__happy,-0.089571,1,FAIL
mask_wendys_brand,aggressive,app,word__happening,0.079822,2,FAIL
mask_wendys_brand,aggressive,app,word__apply,-0.06676,3,FAIL
mask_wendys_brand,aggressive,drive thru,word__drive thru,0.042657,1,FAIL
mask_wendys_brand,aggressive,breakfast,word__breakfast,-0.082521,1,FAIL
mask_wendys_brand,aggressive,breakfast,word__breakfast url,0.045294,2,FAIL
mask_wendys_brand,aggressive,breakfast,word__brand_token breakfast,-0.029372,3,FAIL
mask_wendys_brand,aggressive,fries,word__fries in,0.115771,1,FAIL
mask_wendys_brand,aggressive,fries,word__french fries,0.056284,2,FAIL
mask_wendys_brand,aggressive,fries,word__fries,0.022188,3,FAIL
mask_wendys_brand,aggressive,chicken sandwich,word__chicken sandwich,-0.031349,1,FAIL
mask_wendys_brand,aggressive,nuggets,word__nuggets,0.040172,1,FAIL
mask_wendys_brand,aggressive,nuggets,word__spicy nuggets,-0.014583,2,FAIL
mask_wendys_brand,aggressive,nuggets,word__4pc nuggets,-0.011119,3,FAIL
mask_wendys_brand,aggressive,deal,word__deals,-0.049537,1,FAIL
mask_wendys_brand,aggressive,deal,word__dealer,0.036016,2,FAIL
mask_wendys_brand,aggressive,deal,word__the deals,-0.027508,3,FAIL
mask_wendys_brand,aggressive,offer,word__offer,0.013241,1,FAIL
mask_wendys_brand,aggressive,offer,word__to offer,-0.010803,2,FAIL
mask_wendys_brand,aggressive,offer,word__offering,-0.01029,3,FAIL
mask_wendys_brand,affiliative,wendy,word__wendysspicynuggs,-0.035525,1,FAIL
mask_wendys_brand,affiliative,wendy,word__verified wendysspicynuggs,-0.024977,2,FAIL
mask_wendys_brand,affiliative,wendys,word__wendysspicynuggs,-0.035525,1,FAIL
mask_wendys_brand,affiliative,wendys,word__verified wendysspicynuggs,-0.024977,2,FAIL
mask_wendys_brand,affiliative,wendy,word__wendysspicynuggs,-0.035525,1,FAIL
mask_wendys_brand,affiliative,wendy,word__verified wendysspicynuggs,-0.024977,2,FAIL
