fortune_rank,company_name,official_x_handle,folder,attempted,status,posts_collected,error_type,error_message,started_at,completed_at
21,Chevron,@chevron,data/raw/fortune_x_2025_ranked/021_chevron,true,success,15,,,2026-06-12T16:35:34.177698+00:00,2026-06-12T16:35:40.171286+00:00
22,Ford Motor,@Ford,data/raw/fortune_x_2025_ranked/022_ford_motor,true,success,15,,,2026-06-12T16:36:23.151320+00:00,2026-06-12T16:36:29.053174+00:00
23,General Motors,@GM,data/raw/fortune_x_2025_ranked/023_general_motors,true,success,15,,,2026-06-12T16:37:05.751467+00:00,2026-06-12T16:37:12.199189+00:00
24,Citigroup,@Citi,data/raw/fortune_x_2025_ranked/024_citigroup,true,success,15,,,2026-06-12T16:37:54.349955+00:00,2026-06-12T16:38:01.543095+00:00
25,Home Depot,@homedepot,data/raw/fortune_x_2025_ranked/025_home_depot,true,success,30,,,2026-06-12T16:38:37.776002+00:00,2026-06-12T16:38:51.246511+00:00
26,Fannie Mae,@fanniemae,data/raw/fortune_x_2025_ranked/026_fannie_mae,true,success,15,,,2026-06-12T16:39:27.873029+00:00,2026-06-12T16:39:35.292722+00:00
27,Kroger,@kroger,data/raw/fortune_x_2025_ranked/027_kroger,true,success,15,,,2026-06-12T16:39:30.364345+00:00,2026-06-12T16:39:36.861736+00:00
28,Verizon Communications,@Verizon,data/raw/fortune_x_2025_ranked/028_verizon_communications,true,success,15,,,2026-06-12T16:40:12.494642+00:00,2026-06-12T16:40:20.031866+00:00
29,Phillips 66,@phillips66,data/raw/fortune_x_2025_ranked/029_phillips_66,true,partial_success,15,collector_failed,"exception occurred:  Traceback (most recent call last):   File ""/home/runner/work/x_scrapper/x_scrapper/scrape_x.py"", line 20, in <module>     asyncio.run(scrape_profile())   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 190, in run     return runner.run(main)            ^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 118, in run     return self._loop.run_until_complete(task)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete     return future.result()            ^^^^^^^^^^^^^^^   File ""/home/runner/work/x_scrapper/x_scrapper/src/x_scrapper/collection/x_scraper.py"", line 257, in scrape_profile     raise RuntimeError( RuntimeError: X profile did not render tweets. url=https://x.com/phillips66, title=Phillips 66 (@Phillips66) / X. 쿠키가 만료됐거나 GitHub Actions 접속이 X에서 차단됐을 수 있습니다. ",2026-06-12T16:40:17.931796+00:00,2026-06-12T16:49:30.312007+00:00
30,Marathon Petroleum,@MarathonPetroCo,data/raw/fortune_x_2025_ranked/030_marathon_petroleum,true,success,15,,,2026-06-12T16:40:56.257596+00:00,2026-06-12T16:41:01.993775+00:00
31,StoneX Group,@StoneX_Official,data/raw/fortune_x_2025_ranked/031_stonex_group,true,success,15,,,2026-06-12T16:41:38.667645+00:00,2026-06-12T16:41:44.370929+00:00
32,State Farm Insurance,@StateFarm,data/raw/fortune_x_2025_ranked/032_state_farm_insurance,true,success,15,,,2026-06-12T16:42:19.702218+00:00,2026-06-12T16:42:25.532596+00:00
33,Freddie Mac,@FreddieMac,data/raw/fortune_x_2025_ranked/033_freddie_mac,true,success,15,,,2026-06-12T16:43:07.546732+00:00,2026-06-12T16:43:14.068082+00:00
34,Humana,@humana,data/raw/fortune_x_2025_ranked/034_humana,true,success,15,,,2026-06-12T16:43:54.596876+00:00,2026-06-12T16:44:00.194894+00:00
35,AT&T,@ATT,data/raw/fortune_x_2025_ranked/035_at_t,true,success,15,,,2026-06-12T16:44:39.005908+00:00,2026-06-12T16:44:44.867583+00:00
36,Goldman Sachs Group,@GoldmanSachs,data/raw/fortune_x_2025_ranked/036_goldman_sachs_group,true,success,15,,,2026-06-12T16:45:22.132516+00:00,2026-06-12T16:45:28.025204+00:00
