company_name,quarter,post_count,aggressive_count,aggressive_intensity,aggressive_intensity_sq,mean_log1p_engagement
Sysco,2024-Q3,3,0,0.0,0.0,2.633669
ConocoPhillips,2023-Q3,2,0,0.0,0.0,2.35024
Walmart,2024-Q4,3,0,0.0,0.0,4.023112
Marathon Petroleum,2025-Q2,2,0,0.0,0.0,2.191013
Lockheed Martin,2026-Q1,3,0,0.0,0.0,8.204299
Ford Motor,2024-Q2,3,0,0.0,0.0,4.037497
Oracle,2025-Q3,4,0,0.0,0.0,5.196758
ConocoPhillips,2022-Q3,1,0,0.0,0.0,2.079442
ConocoPhillips,2021-Q3,1,0,0.0,0.0,1.098612
Phillips 66,2021-Q3,3,0,0.0,0.0,1.843143
Chevron,2026-Q2,1,0,0.0,0.0,2.70805
Archer Daniels Midland,2021-Q2,2,0,0.0,0.0,2.524928
