tweet_id,company_name,source_x_handle,period,year,month,log_total_engagement,humor_type,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,text_length,hashtag_count,mention_count,h2_sample_inclusion_flag
1948368416978452882,Amazon,@amazon,2025-07,2025,07,4.564348,non_humorous,0,0,0,0,1,23,0,0,1
1951014172424048820,Amazon,@amazon,2025-07,2025,07,3.663562,non_humorous,0,0,0,0,1,211,0,0,1
1951024135737581847,Amazon,@amazon,2025-07,2025,07,5.342334,non_humorous,0,0,0,0,1,23,0,0,1
2062470639433155072,Amazon,@amazon,2026-06,2026,06,3.784190,non_humorous,0,0,0,0,1,23,0,0,1
2062474468195274997,Amazon,@amazon,2026-06,2026,06,4.317488,non_humorous,0,0,0,0,1,23,0,0,1
2062475623243698669,Amazon,@amazon,2026-06,2026,06,5.438079,non_humorous,0,0,0,0,1,772,0,0,1
2062518603396657440,Amazon,@amazon,2026-06,2026,06,4.852030,non_humorous,0,0,0,0,1,23,0,0,1
2062524083342913627,Amazon,@amazon,2026-06,2026,06,5.036953,non_humorous,0,0,0,0,1,303,0,2,1
2062525912575356955,Amazon,@amazon,2026-06,2026,06,3.258097,non_humorous,0,0,0,0,1,140,0,3,1
1798708480255356951,Amazon,@amazon,2024-06,2024,06,5.451038,non_humorous,0,0,0,0,1,614,1,0,1
1801230275772375192,Amazon,@amazon,2024-06,2024,06,3.931826,non_humorous,0,0,0,0,1,305,2,1,1
1801259074597655019,Amazon,@amazon,2024-06,2024,06,3.850148,non_humorous,0,0,0,0,1,59,0,1,1
1801259653092737420,Amazon,@amazon,2024-06,2024,06,3.663562,non_humorous,0,0,0,0,1,102,0,0,1
1803733344556929209,Amazon,@amazon,2024-06,2024,06,4.753590,non_humorous,0,0,0,0,1,40,0,0,1
1803829519192555789,Amazon,@amazon,2024-06,2024,06,4.948760,non_humorous,0,0,0,0,1,42,0,0,1
1938035229987639608,Amazon,@amazon,2025-06,2025,06,8.346168,non_humorous,0,0,0,0,1,230,0,0,1
