company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,humor_share,log_humor_count,humor_presence_any,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,ambiguity_rate,high_ambiguity_flag
Amazon,2024-10,1,@amazon,19,1,0.052632,0.693147,1,0.052632,0.142857,,0.631579,1
Amazon,2024-11,1,@amazon,21,7,0.333333,2.079442,1,0.333333,0.5,0.333333,0.333333,0
Amazon,2024-12,1,@amazon,21,5,0.238095,1.791759,1,0.238095,0.3125,0.238095,0.238095,0
Amazon,2025-01,1,@amazon,23,6,0.26087,1.94591,1,0.26087,0.461538,0.26087,0.434783,0
Amazon,2025-02,1,@amazon,19,3,0.157895,1.386294,1,0.157895,0.230769,0.157895,0.315789,0
Amazon,2025-03,1,@amazon,12,2,0.166667,1.098612,1,0.166667,0.5,,0.666667,1
Amazon,2025-04,1,@amazon,19,0,0.0,0.0,0,0.0,0.0,,0.526316,1
Amazon,2025-05,1,@amazon,25,3,0.12,1.386294,1,0.12,0.230769,0.12,0.48,0
Amazon,2025-06,1,@amazon,26,4,0.153846,1.609438,1,0.153846,0.222222,0.153846,0.307692,0
Amazon,2025-07,1,@amazon,30,1,0.033333,0.693147,1,0.033333,0.066667,,0.5,1
Amazon,2025-08,1,@amazon,17,2,0.117647,1.098612,1,0.117647,0.25,,0.529412,1
Amazon,2025-09,1,@amazon,30,4,0.133333,1.609438,1,0.133333,0.25,0.133333,0.466667,0
Amazon,2025-10,1,@amazon,20,6,0.3,1.94591,1,0.3,0.375,0.3,0.2,0
Amazon,2025-11,1,@amazon,35,4,0.114286,1.609438,1,0.114286,0.266667,,0.571429,1
Amazon,2025-12,1,@amazon,53,10,0.188679,2.397895,1,0.188679,0.30303,0.188679,0.377358,0
Amazon,2026-01,1,@amazon,48,4,0.083333,1.609438,1,0.083333,0.190476,,0.5625,1
Amazon,2026-02,1,@amazon,57,6,0.105263,1.94591,1,0.105263,0.193548,0.105263,0.45614,0
Amazon,2026-03,1,@amazon,55,7,0.127273,2.079442,1,0.127273,0.269231,,0.527273,1
Amazon,2026-04,1,@amazon,87,13,0.149425,2.639057,1,0.149425,0.270833,0.149425,0.448276,0
Amazon,2026-05,1,@amazon,47,10,0.212766,2.397895,1,0.212766,0.3125,0.212766,0.319149,0
Amazon,2026-06,1,@amazon,26,6,0.230769,1.94591,1,0.230769,0.333333,0.230769,0.307692,0
American Airlines Group,2023-12,1,@AmericanAir,10,6,0.6,1.94591,1,0.6,1.0,0.6,0.4,0
American Airlines Group,2024-01,1,@AmericanAir,10,3,0.3,1.386294,1,0.3,0.6,,0.5,1
American Airlines Group,2024-02,1,@AmericanAir,6,3,0.5,1.386294,1,0.5,0.6,0.5,0.166667,0
American Airlines Group,2024-03,1,@AmericanAir,6,1,0.166667,0.693147,1,0.166667,0.25,0.166667,0.333333,0
American Airlines Group,2024-04,1,@AmericanAir,8,3,0.375,1.386294,1,0.375,1.0,,0.625,1
American Airlines Group,2024-05,1,@AmericanAir,11,3,0.272727,1.386294,1,0.272727,0.6,,0.545455,1
American Airlines Group,2024-06,1,@AmericanAir,13,1,0.076923,0.693147,1,0.076923,0.2,,0.615385,1
American Airlines Group,2024-07,1,@AmericanAir,11,3,0.272727,1.386294,1,0.272727,0.5,0.272727,0.454545,0
American Airlines Group,2024-08,1,@AmericanAir,3,0,0.0,0.0,0,0.0,,,1.0,1
American Airlines Group,2024-09,1,@AmericanAir,8,2,0.25,1.098612,1,0.25,0.4,0.25,0.375,0
American Airlines Group,2024-10,1,@AmericanAir,8,3,0.375,1.386294,1,0.375,0.428571,0.375,0.125,0
American Airlines Group,2024-11,1,@AmericanAir,5,2,0.4,1.098612,1,0.4,0.666667,0.4,0.4,0
American Airlines Group,2024-12,1,@AmericanAir,9,0,0.0,0.0,0,0.0,0.0,,0.777778,1
American Airlines Group,2025-01,1,@AmericanAir,14,2,0.142857,1.098612,1,0.142857,0.25,0.142857,0.428571,0
American Airlines Group,2025-02,1,@AmericanAir,4,1,0.25,0.693147,1,0.25,0.5,,0.5,1
American Airlines Group,2025-03,1,@AmericanAir,1,0,0.0,0.0,0,0.0,,,1.0,1
American Airlines Group,2025-04,1,@AmericanAir,7,2,0.285714,1.098612,1,0.285714,0.5,0.285714,0.428571,0
American Airlines Group,2025-05,1,@AmericanAir,7,2,0.285714,1.098612,1,0.285714,0.4,0.285714,0.285714,0
American Airlines Group,2025-06,1,@AmericanAir,2,0,0.0,0.0,0,0.0,,,1.0,1
American Airlines Group,2025-08,1,@AmericanAir,2,0,0.0,0.0,0,0.0,,,1.0,1
American Airlines Group,2025-09,1,@AmericanAir,3,1,0.333333,0.693147,1,0.333333,1.0,,0.666667,1
