task,weight_setting,class_label,diagnostic_token,feature,weight,rank_abs_weight,leakage_flag
type_4class,W50,self-enhancing,roast,char__roast,-0.01796,5,FAIL
type_4class,W50,self-defeating,wendy,word__wendy,0.215464,1,FAIL
type_4class,W50,self-defeating,wendy,char__wendy,0.106123,2,FAIL
type_4class,W50,self-defeating,wendy,word__up wendy,0.062108,3,FAIL
type_4class,W50,self-defeating,wendy,word__wendy app,0.061819,4,FAIL
type_4class,W50,self-defeating,wendy,word__is wendy,0.061226,5,FAIL
type_4class,W50,self-defeating,wendys,word__wendysspicynuggs,-0.01008,1,FAIL
type_4class,W50,self-defeating,wendys,word__wendys,-0.009282,2,FAIL
type_4class,W50,self-defeating,wendys,word__verified wendysspicynuggs,-0.006782,3,FAIL
type_4class,W50,self-defeating,frosty,word__vanilla frosty,0.100584,1,FAIL
type_4class,W50,self-defeating,frosty,word__frosty,0.04745,2,FAIL
type_4class,W50,self-defeating,frosty,word__mints frosty,-0.006255,3,FAIL
type_4class,W50,self-defeating,baconator,word__baconator,-0.018822,1,FAIL
type_4class,W50,self-defeating,baconator,word__breakfast baconator,-0.008949,2,FAIL
type_4class,W50,self-defeating,baconator,word__baconator with,-0.004597,3,FAIL
type_4class,W50,self-defeating,nuggs,word__nuggs,-0.018024,1,FAIL
type_4class,W50,self-defeating,nuggs,char__nuggs,-0.011456,2,FAIL
type_4class,W50,self-defeating,nuggs,word__spicy nuggs,-0.011318,3,FAIL
type_4class,W50,self-defeating,nuggs,word__wendysspicynuggs,-0.01008,4,FAIL
type_4class,W50,self-defeating,nuggs,word__verified wendysspicynuggs,-0.006782,5,FAIL
type_4class,W50,self-defeating,roast,char__roast,-0.040324,1,FAIL
type_4class,W50,self-defeating,roast,word__nationalroastday,-0.037245,2,FAIL
type_4class,W50,self-defeating,roast,word__roast,-0.033067,3,FAIL
type_4class,W50,self-defeating,roast,word__roasted,-0.025978,4,FAIL
type_4class,W50,self-defeating,roast,word__roasting,-0.013582,5,FAIL
aggressive_detector,W50,aggressive,wendy,word__me wendy,0.041972,1,FAIL
aggressive_detector,W50,aggressive,wendy,word__wendys,0.027318,2,FAIL
aggressive_detector,W50,aggressive,wendy,word__is wendy,0.022044,3,FAIL
aggressive_detector,W50,aggressive,wendy,word__wendysspicynuggs,-0.011608,4,FAIL
aggressive_detector,W50,aggressive,wendy,word__to wendy,-0.011218,5,FAIL
aggressive_detector,W50,aggressive,wendys,word__wendys,0.027318,1,FAIL
aggressive_detector,W50,aggressive,wendys,word__wendysspicynuggs,-0.011608,2,FAIL
aggressive_detector,W50,aggressive,wendys,word__verified wendysspicynuggs,-0.00803,3,FAIL
aggressive_detector,W50,aggressive,frosty,word__mints frosty,0.048158,1,FAIL
aggressive_detector,W50,aggressive,frosty,word__frosty,0.0275,2,FAIL
aggressive_detector,W50,aggressive,frosty,word__vanilla frosty,-0.010468,3,FAIL
aggressive_detector,W50,aggressive,baconator,word__breakfast baconator,0.015283,1,FAIL
aggressive_detector,W50,aggressive,baconator,word__baconator with,-0.005428,2,FAIL
aggressive_detector,W50,aggressive,baconator,word__baconator,0.001758,3,FAIL
aggressive_detector,W50,aggressive,nuggs,word__nuggs,-0.021103,1,FAIL
aggressive_detector,W50,aggressive,nuggs,char__nuggs,-0.013353,2,FAIL
aggressive_detector,W50,aggressive,nuggs,word__spicy nuggs,-0.013146,3,FAIL
